x,y,z,name
1,6,1,D1
1,6,0,E1
1,7,0,C1
1,7,1,C2
1,9,0,A1
1,9,1,B1
4,12,1,A2
4,12,0,C3
5,1,1,E2
5,1,0,F2
5,12,1,A3
6,1,0,E3
6,1,1,F3
6,12,0,B3
7,1,0,E4
7,1,1,F5
8,1,1,D5
8,1,0,E5
10,5,1,E6
10,6,1,C5
10,6,0,D6
10,7,0,B4
10,7,1,B5
10,8,0,B6
10,8,1,C6
