x,y,z,name
1,5,0,L4
1,5,1,M4
1,6,0,K4
1,6,1,P1
1,7,0,M3
1,7,1,N2
1,8,1,K5
1,8,0,M2
1,9,1,L3
1,9,0,M1
1,11,1,K3
1,11,0,L1
1,13,1,J4
1,13,0,K1
1,14,0,J2
1,14,1,J5
1,15,1,H4
1,15,0,J1
1,16,1,H3
1,16,0,J3
1,18,0,H1
1,18,1,H5
1,19,0,G4
1,19,1,H6
1,20,1,G5
1,20,0,H2
1,21,0,G1
1,21,1,G3
1,22,0,F1
1,22,1,G2
1,23,0,F2
1,23,1,F3
1,24,0,F4
1,24,1,F5
1,26,1,D2
1,26,0,E2
1,27,0,D1
1,27,1,E6
1,29,0,D3
1,29,1,E5
1,30,0,C1
1,30,1,E3
1,32,0,D4
1,32,1,E4
1,33,0,B1
1,33,1,C2
3,36,1,A1
4,1,0,N3
4,1,1,P2
4,36,1,B2
4,36,0,C3
5,1,0,N4
5,1,1,R1
5,36,1,A2
5,36,0,C4
6,1,0,L5
6,1,1,R2
6,36,1,B3
6,36,0,D5
7,36,1,B4
7,36,0,C5
8,1,0,M5
8,1,1,R3
8,36,1,A5
9,1,0,L6
9,1,1,P4
9,36,1,B5
10,1,0,M6
10,1,1,R4
10,36,1,F7
11,1,1,N5
11,36,0,D6
12,1,1,P5
12,36,0,B6
12,36,1,D7
13,1,1,R5
13,36,0,A6
13,36,1,C7
14,1,0,L7
14,1,1,N6
14,36,0,A7
15,1,1,M7
15,36,0,C6
16,1,1,P6
16,36,0,B7
17,1,0,M8
17,1,1,R6
18,1,1,N7
18,36,1,D8
19,1,0,L9
19,1,1,P7
19,36,1,A8
19,36,0,C9
20,36,1,A9
20,36,0,B9
21,1,1,M9
21,1,0,P8
21,36,1,B8
21,36,0,C8
22,1,1,K9
22,1,0,N9
22,36,0,C10
22,36,1,F9
23,1,1,L10
23,1,0,R9
23,36,0,A10
24,1,1,N10
24,1,0,P9
24,36,0,B10
25,1,0,P10
25,36,1,A11
25,36,0,B11
26,1,0,R10
26,36,1,C11
27,1,0,P11
27,36,1,B12
27,36,0,D10
28,1,0,R11
28,36,1,D9
28,36,0,E9
29,1,0,P13
29,36,1,B13
29,36,0,E10
30,1,0,R12
30,36,1,D11
31,1,0,K11
31,1,1,P12
31,36,1,E11
32,1,1,L11
32,1,0,M11
32,36,1,C12
32,36,0,C13
33,1,1,M12
33,1,0,N12
33,36,0,A15
33,36,1,B14
36,3,1,P15
36,3,0,R15
36,4,1,P14
36,4,0,R14
36,5,1,L12
36,5,0,M15
36,6,1,K12
36,6,0,M13
36,7,1,J10
36,7,0,K13
36,8,1,J12
36,8,0,L13
36,9,0,L14
36,10,0,M14
36,11,0,K15
36,12,1,J11
36,13,0,J13
36,14,0,K14
36,15,0,J15
36,16,1,H11
36,16,0,J14
36,17,1,H13
36,17,0,H14
36,18,1,H12
36,19,0,G13
36,21,1,G11
36,21,0,G15
36,22,1,G10
36,22,0,G14
36,23,0,F14
36,23,1,G12
36,24,0,F15
36,25,1,F12
36,25,0,F13
36,26,0,E14
36,26,1,F11
36,27,0,D14
36,29,1,D13
36,29,0,D15
36,30,0,E13
36,32,0,C14
36,33,0,B15
