x,y,z,name
1,4,0,J2
1,4,1,J3
1,5,1,H1
1,5,0,J1
1,6,1,H2
1,6,0,H3
1,7,1,F3
1,7,0,G3
1,8,1,F2
1,8,0,G1
1,10,1,F4
1,10,0,G4
1,11,0,D3
1,11,1,E3
1,12,1,D1
1,12,0,E2
1,13,1,C2
1,13,0,D2
1,14,0,D4
1,14,1,E4
1,15,1,C3
1,15,0,C4
1,16,0,B1
1,16,1,C1
3,1,0,K3
3,1,1,K4
3,20,1,A2
3,20,0,B3
4,1,1,J4
4,1,0,L2
4,20,0,A3
4,20,1,B4
5,1,0,J5
5,1,1,L3
5,20,1,A5
5,20,0,B5
6,1,0,H4
6,1,1,H5
6,20,0,A4
6,20,1,A6
7,1,0,L4
7,1,1,L5
7,20,0,C5
7,20,1,D5
8,1,1,L9
8,20,1,D6
8,20,0,E5
9,1,0,L8
9,1,1,L10
9,20,0,C6
9,20,1,E6
10,1,1,J11
10,1,0,L11
10,20,1,C7
10,20,0,D7
11,1,1,H11
11,1,0,K11
11,20,0,E7
11,20,1,F7
12,1,0,H6
12,1,1,J6
12,20,0,A8
12,20,1,B8
13,1,0,J8
13,1,1,K8
13,20,0,C8
13,20,1,C9
14,1,1,J9
14,1,0,K9
14,20,1,A10
14,20,0,B9
16,5,1,H10
16,6,1,H7
16,6,0,H9
16,8,1,G7
16,8,0,H8
16,9,0,G8
16,9,1,G9
16,10,1,F8
16,10,0,G10
16,11,0,F9
16,11,1,F10
16,13,0,E8
16,13,1,E9
16,14,0,D8
16,14,1,E11
16,15,0,D9
16,15,1,D10
16,16,1,C11
16,16,0,D11
16,17,0,A11
16,17,1,B11
