x,y,z,name
1,6,1,N1
1,6,0,P1
1,8,1,L1
1,8,0,M1
1,13,1,K3
1,13,0,K4
1,18,1,H1
1,18,0,H3
1,19,0,G1
1,19,1,G3
1,20,0,J1
1,20,1,J3
1,22,0,G4
1,22,1,H4
1,23,0,F3
1,23,1,F4
1,24,1,D4
1,24,0,E4
1,27,1,D1
1,27,0,E1
1,29,1,C3
1,29,0,D3
1,32,1,B1
1,32,0,C1
4,36,0,A1
5,36,0,A2
5,36,1,A3
6,1,0,P2
6,36,0,C4
7,1,1,P3
7,36,0,A4
9,1,1,M4
10,1,0,M3
10,36,1,C5
11,36,0,D5
12,36,1,A5
13,1,1,L5
13,36,1,C6
13,36,0,D6
14,1,0,L4
14,1,1,P4
15,1,0,P5
15,36,1,D7
16,1,1,M6
16,36,1,C7
17,1,0,L6
17,1,1,M7
18,1,1,P7
18,36,1,A6
19,1,0,P8
19,36,0,A7
22,1,1,L8
22,36,1,C9
23,1,1,P9
23,36,1,D9
24,1,1,M9
24,36,1,C10
27,36,0,A10
28,36,0,A11
28,36,1,D11
29,36,0,D10
30,36,1,C11
31,1,0,L9
31,1,1,P10
31,36,1,C12
32,1,0,M11
32,1,1,P11
32,36,1,A12
33,1,0,P12
33,1,1,P13
36,3,0,M12
36,3,1,P14
36,4,0,L12
36,4,1,N14
36,5,1,L14
36,6,1,K11
36,6,0,K12
36,7,1,J12
36,7,0,K14
36,8,1,H12
36,8,0,J11
36,12,1,H11
36,13,0,G12
36,16,1,G11
36,17,0,F12
36,18,1,F14
36,19,0,G14
36,21,1,F11
36,22,1,E11
36,23,0,E12
36,23,1,E14
36,25,1,D14
36,26,1,C14
36,29,1,D12
36,30,0,B14
