x,y,z,name
6,34,0,39
7,1,0,46
7,34,0,40
8,1,1,44
8,1,0,47
8,34,0,41
9,1,1,45
9,1,0,48
10,1,0,2
10,34,1,38
10,34,0,42
11,1,1,3
11,1,0,4
11,34,1,36
11,34,0,43
14,34,1,35
15,1,1,6
15,34,1,34
15,34,0,37
17,1,0,9
18,1,0,10
18,34,1,31
18,34,0,32
19,1,0,11
19,34,0,28
20,1,0,12
20,1,1,21
20,34,0,26
20,34,1,27
21,1,0,13
21,1,1,20
21,34,0,23
21,34,1,25
23,1,1,19
24,1,1,18
25,1,0,14
25,1,1,17
26,1,0,15
26,1,1,16
