x,y,z,name
1,4,1,G2
1,6,1,G1
1,6,0,H2
1,8,1,F2
1,8,0,F3
1,10,1,E1
1,10,0,E2
1,11,0,D1
1,11,1,E3
1,12,0,C2
1,12,1,D2
1,14,0,C1
1,14,1,D3
1,15,1,B1
1,15,0,B3
1,16,0,B2
1,16,1,C3
3,20,1,C4
4,1,1,H3
4,1,0,J2
4,20,1,A2
5,1,1,G3
5,20,1,A3
6,1,0,G4
6,20,0,D5
7,20,1,B4
7,20,0,D4
8,1,0,H4
8,1,1,J3
8,20,1,A4
9,20,0,D6
10,20,1,B5
10,20,0,C5
11,20,1,B6
12,1,0,G5
12,1,1,H5
12,20,0,C6
12,20,1,E6
13,1,0,H7
13,1,1,J7
13,20,0,A7
13,20,1,B7
14,1,1,H8
14,1,0,J8
14,20,1,A8
14,20,0,B8
16,6,0,G6
16,6,1,G7
16,8,1,G8
16,9,1,F9
16,9,0,G9
16,10,0,F6
16,10,1,F8
16,11,0,F7
16,13,0,E8
16,13,1,E9
16,14,0,E7
16,15,0,D7
16,15,1,D8
16,16,1,C9
16,17,0,C7
16,17,1,C8
