x,y,z,name
1,5,1,G2
1,5,0,H2
1,7,0,G1
1,7,1,G3
1,9,1,F1
1,9,0,F3
1,18,1,E3
1,18,0,E4
1,19,0,D3
1,19,1,E2
1,22,1,D1
1,22,0,E1
1,25,0,C3
1,25,1,D2
1,30,1,B1
1,30,0,C1
1,32,0,B2
1,32,1,C2
4,36,1,A1
5,1,0,H1
5,1,1,J1
6,1,0,J2
6,1,1,J3
6,36,0,A2
7,36,1,B3
8,36,0,A3
9,36,1,E5
10,36,1,D5
11,36,0,B4
12,36,1,A4
13,1,0,J4
18,1,1,G4
18,36,1,C4
19,1,0,H4
19,36,0,C5
23,36,1,B5
25,36,0,A6
26,36,0,B6
27,36,1,B7
29,36,0,A7
30,36,1,A8
31,1,0,G5
31,1,1,H5
32,1,0,G6
32,1,1,H7
32,36,1,B8
33,1,1,F7
33,1,0,G7
36,3,0,J8
36,3,1,J9
36,4,1,G9
36,4,0,H9
36,5,0,F8
36,5,1,G8
36,6,1,A9
36,6,0,D6
36,7,0,D7
36,7,1,E7
36,8,1,B9
36,8,0,D9
36,18,1,E8
36,19,0,D8
36,23,1,C9
