x,y,z,name
1,4,0,H4
1,4,1,L1
1,5,0,G4
1,5,1,K1
1,6,1,H2
1,6,0,J1
1,7,0,F3
1,7,1,G2
1,8,0,F2
1,8,1,H1
1,10,1,F4
1,10,0,F5
1,11,1,E3
1,11,0,E4
1,12,1,D4
1,12,0,E2
1,13,0,D1
1,13,1,D3
1,14,0,C1
1,14,1,D2
1,15,0,B1
1,15,1,C2
1,16,0,A1
1,16,1,C3
3,1,1,J2
3,20,1,B2
3,20,0,C4
4,1,0,K2
4,1,1,K3
4,20,1,A2
4,20,0,B3
5,1,0,L2
5,1,1,L3
5,20,0,A3
5,20,1,B4
6,1,0,K4
6,1,1,L4
6,20,1,B5
6,20,0,C5
7,1,0,K5
7,20,1,A5
7,20,0,E6
8,1,0,H5
8,1,1,J5
8,20,1,D5
8,20,0,F6
9,1,1,K7
9,1,0,L5
9,20,1,C6
9,20,0,D6
10,1,0,L7
10,1,1,L9
10,20,0,A7
10,20,1,C7
11,1,0,K8
11,1,1,L10
11,20,0,B7
11,20,1,C8
12,1,0,H6
12,1,1,J6
12,20,1,A8
12,20,0,C9
13,1,0,H7
13,1,1,J8
13,20,0,A9
13,20,1,B8
14,1,1,G8
14,1,0,H8
14,20,0,A10
14,20,1,B9
16,3,0,K9
16,3,1,K10
16,4,1,H10
16,4,0,J10
16,5,1,K11
16,6,1,H11
16,6,0,L11
16,8,1,H9
16,8,0,J11
16,9,1,F11
16,9,0,G11
16,10,1,F9
16,10,0,G9
16,11,0,E9
16,11,1,E10
16,13,1,D11
16,13,0,F8
16,14,1,D10
16,14,0,E7
16,15,1,C11
16,15,0,E8
16,16,1,B11
16,16,0,C10
16,17,0,A11
16,17,1,B10
