x,y,z,name
1,6,0,7
1,6,1,8
1,7,1,5
1,7,0,6
1,9,0,1
1,9,1,2
4,12,0,31
4,12,1,32
5,12,1,30
6,12,0,29
7,1,0,12
7,1,1,13
7,12,0,27
8,1,1,14
8,1,0,15
8,12,0,26
10,6,0,18
10,6,1,19
10,7,0,20
10,8,0,22
10,8,1,23
